lon,lat,name,fix,mov,obs_ve,obs_vn,obs_ee,obs_en,pred_ve,pred_vn,cen,resid_e,resid_n
20.3144,41.1793,LIBR,1111,alb001,-1.1,-0.8,0.38,0.27,0.136,-1.11,0.0,-1.236,0.31
20.523,41.244,M124,1111,alb001,-0.97,-1.736,0.73,0.81,0.06,-1.719,0.0,-1.03,-0.017
20.603,41.068,QAF-,1111,alb001,1.927,-3.29,0.4,0.5,-0.04,-1.679,0.0,1.967,-1.611
20.631,41.063,LINI,1111,alb001,1.182,-1.267,1.295,1.299,-0.052,-1.706,0.0,1.234,0.439
20.6,41.07,QTH2,1111,alb001,1.863,-2.949,1.9,1.1,-0.045,-1.678,0.0,1.908,-1.271
20.524,41.244,M124,1111,alb001,-1.041,-1.75,0.6,0.6,0.061,-1.721,0.0,-1.102,-0.029
20.1846,40.8688,GRA2,1111,alb002,-1.26,-0.9,0.29,0.28,-0.601,-0.754,0.0,-0.659,-0.146
20.5989,40.1499,LES1,1111,alb002,-1.02,-1.21,0.29,0.32,-1.063,-1.697,0.0,0.043,0.487
20.6978,40.7075,MAL3,1111,alb002,-0.2,-3.06,0.53,0.43,-0.741,-1.997,0.0,0.541,-1.063
20.335,40.748,BDMO,1111,alb002,0.643,-0.044,1.299,1.297,-0.776,-1.151,0.0,1.419,1.107
20.063,40.962,DAMG,1111,alb002,-0.372,-1.737,1.284,1.286,-0.395,-0.778,0.0,0.023,-0.959
20.62,40.153,LESK,1111,alb002,-3.051,-0.642,0.941,0.944,-1.085,-1.731,0.0,-1.966,1.089
20.072,41.033,LIXH,1111,alb002,0.281,-2.043,0.884,0.889,-0.115,-1.186,0.0,0.396,-0.857
20.675,40.482,QARR,1111,alb002,1.843,-2.304,0.96,0.963,-1.015,-1.849,0.0,2.858,-0.455
20.7728,40.624,KOR2,1111,alb003,-1.0,-1.9,0.38,0.3,-0.537,-2.28,0.0,-0.463,0.38
20.7941,41.1273,ORID,1111,alb003,0.9,-2.6,0.12,0.11,0.83,-2.507,0.0,0.07,-0.093
20.682,41.43,M123,1111,alb003,0.647,-2.724,0.57,0.59,1.309,-2.269,0.0,-0.662,-0.455
20.784,40.852,ALAR,1111,alb003,-0.292,-2.973,0.98,0.983,0.167,-2.564,0.0,-0.459,-0.409
20.794,40.619,KORC,1111,alb003,0.084,-1.453,1.241,1.246,-0.543,-2.333,0.0,0.627,0.88
20.682,41.43,M123,1111,alb003,-0.044,-2.849,0.7,0.6,1.309,-2.269,0.0,-1.353,-0.58
20.794,41.127,ORID,1111,alb003,1.33,-2.29,0.301,0.268,0.829,-2.508,0.0,0.501,0.218
20.4263,41.6853,PES3,1111,alb004,0.2,-1.74,0.17,0.2,-0.025,-1.977,0.0,0.225,0.237
20.4398,41.6848,PESH,1111,alb004,-0.4,-2.53,0.18,0.26,-0.029,-2.035,0.0,-0.371,-0.495
20.536,41.769,0801,1111,alb004,1.44,-3.096,0.54,0.59,0.403,-2.388,0.0,1.037,-0.708
20.536,41.769,0801,1111,alb004,0.85,-2.35,0.7,0.6,0.403,-2.388,0.0,0.447,0.038
20.44,41.685,PES0,1111,alb004,-0.737,-2.415,0.695,0.673,-0.028,-2.036,0.0,-0.709,-0.379
19.475,40.726,APOL,1111,alb005,-0.999,2.66,0.972,0.973,-1.233,1.826,0.0,0.234,0.834
20.6545,42.0622,DRA2,1111,alb006,0.49,-0.9,0.21,0.2,0.519,-1.132,0.0,-0.029,0.232
20.798,41.992,M108,1111,alb006,1.228,-2.072,0.8,0.88,0.44,-1.206,0.0,0.788,-0.866
20.798,41.992,M108,1111,alb006,0.647,-1.248,0.6,0.6,0.44,-1.206,0.0,0.207,-0.042
20.5283,41.5215,DEBA,1111,alb008,0.4,-0.9,0.21,0.23,0.271,-1.091,0.0,0.129,0.191
20.469,41.586,MAQE,1111,alb008,0.052,-1.951,1.0,0.7,-0.091,-0.892,0.0,0.143,-1.059
20.06,41.543,601_,1111,alb009,0.379,-1.712,1.147,1.149,-0.519,-0.449,0.0,0.898,-1.263
19.897,41.675,608_,1111,alb009,-0.451,-1.793,1.126,1.128,-0.143,-0.315,0.0,-0.308,-1.478
20.4169,42.0771,KUKE,1111,alb010,0.96,-0.68,0.35,0.26,0.005,-0.918,0.0,0.955,0.238
20.6573,42.3974,RAHO,1111,alb010,0.1,-2.5,0.37,0.31,0.272,-1.574,0.0,-0.172,-0.926
19.8749,41.7679,RRES,1111,alb010,-0.89,0.0,0.18,0.26,-0.751,0.103,0.0,-0.139,-0.103
19.1002,42.1025,BAR1,1111,alb011,-0.4,0.9,0.17,0.19,-0.319,1.141,0.0,-0.081,-0.241
19.706,41.701,602_,1111,alb011,1.378,-1.383,1.138,1.14,-0.883,0.412,0.0,2.261,-1.795
19.8095,41.3357,TIR2,1111,alb012,-2.6,0.3,0.29,0.3,-1.916,0.84,0.0,-0.684,-0.54
19.8632,41.3473,TIRA,1111,alb012,-2.0,0.6,0.23,0.15,-1.752,0.716,0.0,-0.248,-0.116
19.863,41.347,TIRA,1111,alb012,-1.721,0.959,0.086,0.102,-1.753,0.717,0.0,0.032,0.242
19.954,41.21,MUSH,1111,alb012,-0.784,-0.587,0.938,0.943,-1.755,0.728,0.0,0.971,-1.315
19.9563,40.7029,BER1,1111,alb013,-0.7,-0.1,0.17,0.19,-0.941,0.097,0.0,0.241,-0.197
19.9455,40.7082,BERA,1111,alb013,-0.9,-0.2,0.18,0.18,-0.918,0.053,0.0,0.018,-0.253
20.3531,40.2331,PERM,1111,alb013,-1.8,-1.2,0.19,0.38,-1.828,-0.398,0.0,0.028,-0.802
19.553,41.428,603_,1111,alb013,-2.272,2.386,1.253,1.254,0.802,0.155,0.0,-3.074,2.231
19.71,41.203,611_,1111,alb013,-0.511,1.76,1.171,1.173,0.821,-0.53,0.0,-1.332,2.29
19.945,40.708,BER0,1111,alb013,-1.099,0.5,1.491,1.06,-0.917,0.051,0.0,-0.182,0.449
19.451,41.3155,DUR2,1111,alb014,-0.1,1.6,0.25,0.3,-0.12,1.757,0.0,0.02,-0.157
19.7068,40.9451,LUS2,1111,alb014,-1.16,1.36,0.28,0.23,-1.036,1.455,0.0,-0.124,-0.095
20.171,40.039,DERV,1111,alb014,-2.779,-0.367,0.946,0.95,-2.119,0.496,0.0,-0.66,-0.863
19.936,40.322,DUKA,1111,alb014,-1.638,1.191,0.946,0.95,-1.962,0.949,0.0,0.324,0.242
19.515,41.102,KRYE,1111,alb014,-0.734,2.345,0.907,0.911,-0.433,1.92,0.0,-0.301,0.425
20.092,40.209,LABO,1111,alb014,-2.534,-0.72,0.961,0.966,-1.741,0.645,0.0,-0.793,-1.365
19.4832,40.471,VLO2,1111,alb015,-0.8,4.0,0.73,0.65,-0.801,1.674,0.0,0.001,2.326
19.494,40.365,RRAD,1111,alb015,1.096,2.964,0.978,0.977,-0.33,1.513,0.0,1.426,1.451
19.51,40.405,VLOR,1111,alb015,-0.131,1.941,1.2,0.8,-0.573,1.682,0.0,0.442,0.259
19.7582,40.0889,HIMA,1111,alb016,-1.4,1.9,0.45,0.59,-1.091,1.331,0.0,-0.309,0.569
19.847,40.058,QEPA,1111,alb016,-3.416,-0.728,0.973,0.975,-1.322,1.474,0.0,-2.094,-2.202
20.0099,39.874,SAR2,1111,alb017,-2.4,-0.1,0.46,0.46,-2.809,0.148,0.0,0.409,-0.248
20.026,39.866,SARA,1111,alb017,-3.159,0.093,0.189,0.232,-2.82,0.09,0.0,-0.339,0.003
19.9355,39.7464,KASI,1111,alb018,-3.4,0.0,0.18,0.18,-2.884,0.202,0.0,-0.516,-0.202
19.429,39.865,OTHF,1111,alb018,-2.802,2.213,0.5,0.6,-2.267,2.039,0.0,-0.535,0.174
19.861,39.749,PNTN,1111,alb018,-4.285,0.068,1.3,1.6,-2.932,0.698,0.0,-1.353,-0.63
19.429,39.865,OTHF,1111,alb018,-1.943,1.473,1.0,1.0,-2.267,2.039,0.0,0.324,-0.566
20.006,39.75,BUTR,1111,alb018,-1.356,-0.698,0.972,0.975,-2.787,-0.397,0.0,1.431,-0.301
19.429,39.865,OTHF,1111,alb018,-2.12,2.235,0.1,0.2,-2.267,2.039,0.0,0.147,0.196
19.861,39.749,PNTN,1111,alb018,-4.015,0.839,0.4,0.4,-2.932,0.698,0.0,-1.083,0.141
19.936,39.746,KASI,1111,alb018,-3.258,0.268,0.513,0.406,-2.89,0.199,0.0,-0.368,0.069
19.986,39.875,SAR9,1111,alb018,-2.37,0.08,1.236,4.147,-1.444,-0.832,0.0,-0.926,0.912
20.2627,39.51,IGOU,1111,alb019,-2.77,0.28,0.28,0.23,-1.433,0.852,0.0,-1.337,-0.572
19.8734,39.4937,KERK,1111,alb019,-2.2,0.7,0.27,0.3,-1.581,0.4,0.0,-0.619,0.3
19.797,39.712,ANOK,1111,alb019,-1.879,3.561,0.4,0.4,-2.193,-0.089,0.0,0.314,3.65
20.473,39.292,PARG,1111,alb019,-2.816,1.544,1.3,1.6,-0.807,1.704,0.0,-2.009,-0.16
19.797,39.712,ANOK,1111,alb019,-3.515,1.34,0.2,0.2,-2.193,-0.089,0.0,-1.322,1.429
19.854,39.524,AMAT,1111,alb019,-1.911,2.339,0.3,0.4,-1.883,0.382,0.0,-0.028,1.957
20.473,39.292,PARG,1111,alb019,-2.504,0.845,0.3,0.3,-0.807,1.704,0.0,-1.697,-0.859
20.1639,39.2108,PAXO,1111,alb020,-0.22,3.5,0.28,0.33,-0.149,3.158,0.0,-0.071,0.342
20.249,39.141,APAX,1111,alb020,-0.19,3.516,0.1,0.1,0.054,3.212,0.0,-0.244,0.304
20.194,39.194,GAIO,1111,alb020,-0.298,2.21,2.6,3.0,-0.062,3.175,0.0,-0.236,-0.965
20.128,39.236,PAXI,1111,alb020,-0.205,3.701,0.2,0.3,-0.279,3.16,0.0,0.074,0.541
20.249,39.141,APAX,1111,alb020,0.991,2.588,1.0,1.0,0.054,3.212,0.0,0.937,-0.624
20.249,39.141,APAX,1111,alb020,0.097,3.442,0.101,0.101,0.054,3.212,0.0,0.043,0.23
20.128,39.236,PAXI,1111,alb020,0.195,3.341,0.1,0.1,-0.279,3.16,0.0,0.474,0.181
19.379,39.856,OTHO,1111,alb020,-4.02,4.236,0.3,0.3,-0.713,1.516,0.0,-3.307,2.72
20.8505,39.6641,IOAN,1111,alb021,-1.8,-3.3,0.31,0.3,-3.244,-2.861,0.0,1.444,-0.439
20.665,39.734,KRTS,1111,alb021,-1.887,-2.632,0.3,0.3,-2.368,-1.539,0.0,0.481,-1.093
20.665,39.734,KARI,1111,alb021,-2.61,-1.354,0.3,0.3,-2.368,-1.539,0.0,-0.242,0.185
20.665,39.734,KRTS,1111,alb021,-1.58,-2.01,0.74,0.65,-2.368,-1.539,0.0,0.788,-0.471
20.851,39.664,IOAN,1111,alb021,-1.226,-2.364,1.191,1.011,-3.245,-2.867,0.0,2.019,0.503
